username,waktu,konten
Justo,23-05-2025 10:50,"Justo Justo @M3di4Upd4t3 · Foto Skripsi Dan Ijazah Joko Widodo Yang Ditampilkan pada saat  Konfrensi Pers, Di Bareskrim Mabes  Polri , pada Kamis (22/5/2025). #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran Trio Kwek Kwek Trio Kwek Kwek @TrioKwekKwek555 · @6ur3ckv4n8345 @6ur3ckv4n8345 Polri van gorong2 lebih memilih citra busuk. mereka memiliki bokis, merekayasa kasus, merekayasa hukum, merekayasa barang bukti 6 #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 13 13 13 14 14 14 15 15 15 283 283 283"
Speak_Up,23-05-2025 15:36,"Speak_Up Speak_Up @Nobody_2811 · Mayoritas publik tidak percaya sama kopers Bareskrim  Polri , kecuali ternak Mulyono & buzzeRp haram jadah.
.
.
.
.
Tele Bikin Hot Hits Indonesia Karena DM Polisi Febi DMan Hantu. 10 10 10 20 20 20 4.4K 4.4K 4.4K"
P@k_K@rti,23-05-2025 12:58,"P@k_K@rti P@k_K@rti @PakKarti · Selepas kompers Bareskrim  Polri , ada yg menggelitik terkait dengan berita Tempo tgl 29 Juni 2013.

Ada 3 pihak yang kontradiktif terkait dengan syarat kelulusan bagi Jokowi ;

a) Tempo                 Jokowi                 UGM              b) Tempo           Show more αιяα ηтιє and 5 others αιяα ηтιє αιяα ηтιє 6 6 6 4 4 4 9 9 9 598 598 598"
20DETIK,23-05-2025 17:40,20DETIK 20DETIK @20detik · Bareskrim  Polri  memastikan ijazah S1 Universitas Gadjah Mada milik Presiden ke-7 RI Joko Widodo identik dengan pembanding. Begini tanggapan istana... 21 21 21
Nda !,23-05-2025 08:08,"Nda ! Nda ! @Naandaa27 · Segenting apakah hingga Jaksa dan keluarganya diberi perlindungan khusus ?
Bukannya sdh tugas TNI  POLRI  menjaga setiap warga negara Indonesia ?
Jgn sampai Perpres ini malah dimanfaatkan oleh oknum Jaksa nakal utk berlindung dr kasus hukum !
-----

Pagii Asli Ini DM BreadTalk 4 4 4 6 6 6 9 9 9 1.7K 1.7K 1.7K"
Indonesia Dirusak Oknum Bajingan,23-05-2025 13:49,"Indonesia Dirusak Oknum Bajingan Indonesia Dirusak Oknum Bajingan @yusuf_my1 · @OjolNyambi Ijazah jokowi bikin gaduh indonesia 

Hanya Presiden  @prabowo  yg bs stop gaduh ijazah palsu jokowi 

Cara jemput paksa jokowi utk hadir di pengadilan 

Katakan yg benar dan yg salah dengan tegas lugas! @DivHumas_Polri @SianiparRismon @DokterTifa ⓇⓐⓏⓘⓝ ⓇⓐⓏⓘⓝ ⓇⓐⓏⓘⓝ 1 1 1 2 2 2 5 5 5 105 105 105"
SINDOnews,23-05-2025 17:03,"SINDOnews SINDOnews @SINDOnews · Mantan Presiden Joko Widodo (Jokowi) buka suara mengenai ijazahnya yang dinyatakan asli oleh Bareskrim  Polri . Jokowi memuji polisi yang memeriksa ijazahnya secara detail. 

""Ya memang asli,"" kata Jokowi saat ditemui di kediamannya, Solo, Jawa Tengah, Jumat (23/5/2025). 

Ayah Show more 56 56 56"
HARD PROTECK,23-05-2025 12:22,"HARD PROTECK HARD PROTECK @SuhardiSuh66239 · KAMI TIDAK PERCAYA PUSLABFOR  POLRI ... 

SUDAH KEDUA DARI DRAMA YANG DIMAINKAN BARESKRIM  POLRI ... 

UJI IJAZAH JOKOWI DI PUSLABFOR BUKAN AKHIR DARI KASUS IJAZAH PALSU JOKOWI...  #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 12 12 12 35 35 35 48 48 48 619 619 619"
SINDOnews,23-05-2025 18:18,"SINDOnews SINDOnews @SINDOnews · Kombes Pol Sumaryoto pecah bintang, pangkatnya menjadi Brigadir Jenderal Polisi atau Brigjen Pol usai mendapat penugasan baru sebagai Karobinopsnal Bareskrim  Polri .

Dia merupakan salah satu dari 9 Kombes yang pecah bintang dalam mutasi  Polri  pada 20 Mei 2025. Sumaryono Show more 35 35 35"
Gafrank,23-05-2025 09:50,"Gafrank Gafrank @gafrank_1 · polri  selalu menjalankan tugas dengan  #ProfesionalTegakkanHukum  pastinya , selalu mengayomi masyarakat dan sebisa mungkin mmberantas premanisme yang ada , yuk bisa Tuntas Ungkap Kejahatan 10 10 10 16 16 16 13 13 13 1K 1K 1K"
