username,waktu,konten,tweet_length
Indonesia Dirusak Oknum Bajingan,2025-05-23 13:49:00,Indonesia Dirusak Oknum Bajingan Indonesia Dirusak Oknum Bajingan @yusuf_my1 · @OjolNyambi Ijazah jokowi bikin gaduh indonesia Hanya Presiden @prabowo yg bs stop gaduh ijazah palsu jokowi Cara jemput paksa jokowi utk hadir di pengadilan Katakan yg benar dan yg salah dengan tegas lugas! @DokterTifa ⓇⓐⓏⓘⓝ ⓇⓐⓏⓘⓝ ⓇⓐⓏⓘⓝ 1 2 5 105,326
Divisi Humas Polri,2025-05-23 13:34:00,"Divisi Humas Polri Divisi Humas Polri @DivHumas_Polri · Polda Kalimantan Tengah (Kalteng) menetapkan Ketua GRIB Jaya Kalteng, berinisial R, sebagai tersangka atas dugaan penyegelan perusahaan oleh oknum ormas yang disertai dengan aksi premanisme di Barito Selatan. Usai penetapan status sebagai tersangka, kini R telah ditahan di rutan",335
Davano Jambaq,2025-05-23 13:18:00,"Davano Jambaq Davano Jambaq @davano84 · @neVerAl0nely Dekan , rektor sma ? @DivHumas_Polri 2 312",96
Trio Kwek,2025-05-23 13:05:00,Trio Kwek Kwek Trio @FitraYouse POLRI bukan tempat legalisir ijazah Jokowi #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 3 2 13,133
P@k_K@rti,2025-05-23 12:58:00,"P@rti P@PakKarti · Selepas kompers Bareskrim Polri , ada yg menggelitik terkait dengan berita Tempo tgl 29 Juni 2013. Ada 3 pihak yang kontradiktif terkait dengan syarat kelulusan bagi Jokowi ; a) Tempo Jokowi UGM b) Tempo",222
P@k_K@rti,2025-05-23 12:57:00,"P@rti P@PakKarti · Selepas kompers Bareskrim Polri , ada yg menggelitik terkait dengan berita Tempo tgl 29 Juni 2013. Ada 3 pihak yang kontradiktif terkait dengan syarat kelulusan bagi Jokowi ; a) Tempo Jokowi UGM b) Tempo",222
HARD PROTECK,2025-05-23 12:22:00,HARD PROTECK HARD PROTECK @SuhardiSuh66239 · KAMI TIDAK PERCAYA PUSLABFOR POLRI ... SUDAH KEDUA DARI DRAMA YANG DIMAINKAN BARESKRIM POLRI ... UJI IJAZAH JOKOWI DI PUSLABFOR BUKAN AKHIR DARI KASUS IJAZAH PALSU JOKOWI... #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 12 35 48 619,283
AdrisGaruda29,2025-05-23 11:37:00,"AdrisGaruda29 AdrisGaruda29 @aGarudasadri29 · Dalam sebuah Kasus perkara penyidik dalam hal ini polri tdk di benarkan memutuskan benar atau salah. Barang bukti, Team dan saksi ahli wajib di serahkan ke jaksa dan selanjutnya di ajukan ke pengadilan. @jokowi Barnes Melya Barnes Melya @sihaan99 · Buzzer / hewan piaraan dengar baik baik ya Biar Paham 2 19",353
COBRA 3131,2025-05-23 11:36:00,COBRA 3131 COBRA 3131 @C0BRA3131 · Polri kecewakan rakyat !!! Harusnya tangkap Koruptor OCCRP. Bukan malahan merekayasa hasil Puslabfor yg udah Profesional melakukan rekayasa hasil forensik. Ini daftarnya !!! #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 2 15 22 213,272
COBRA 3131,2025-05-23 11:33:00,"COBRA 3131 COBRA 3131 @C0BRA3131 · @TrioKwekKwek555 and and @OposisiCerdas POLRI era Jokowi & @Prabowo akan dikenang sebagai institusi terbusuk menindas, menipu rakyat yg seharusnya mereka layani sepenuh hati, tapi masih banyak anggota Polri jujur hidup bersama rakyat dgn hidup marginal, smg @Prabowo bs segera benahi Polri . #DukungPrabowoGantiGibran 1 5 60",359
humasacehtimurpoldaaceh,2025-05-23 11:13:00,"GANDENG TOKOH PEMUDA, UPAYA POLSEK SIMPANG ULIM ANTISIPASI AKSI PREMANISME Dengan menggandeng tokoh pemuda, kegiatan ini juga dirancang untuk mempererat hubungan antara Polri dan masyarakat. @bidhumasaceh https:// pemuda-upaya-polsek-simpang-ulim-antisipasi-aksi-premanisme/ … 4 8",280
Justo,2025-05-23 10:50:00,"Foto Skripsi Dan Ijazah Joko Widodo Yang Ditampilkan pada saat Konfrensi Pers, Di Bareskrim Mabes Polri , pada Kamis (22/5/2025). #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran Trio Kwek Kwek Trio @6ur3ckv4n8345 Polri van gorong2 lebih memilih citra busuk. mereka memiliki bokis, merekayasa kasus, merekayasa hukum, merekayasa barang bukti 6 #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 13 14 15 283",463
P W S||,2025-05-23 10:46:00,"P W S|| P W S|| @King_PWS_ · “Sebelumnya, Bareskrim Polri menyatakan, ijazah milik Presiden ke-7 RI Joko Widodo (Jokowi) identik dan otentik setelah dibandingkan dengan ijazah milik tiga rekan seangkatannya di Universitas Gadjah Mada (UGM).” >Identik vs Otentik vs Asli ??? https:// 3/09560561/roy-suryo-respons-bareskrim-usai-sebut-ijazah-jokowi-otentik-yang-asli-tidak … GIF 3 6 10 572",387
Polres Trenggalek,2025-05-23 10:46:00,"Polres Trenggalek Polres Trenggalek @1trenggalek · Wakil Ketua Komisi III DPR RI, Dr. H. Ahmad Sahroni, S.E., M.I.Kom., mengapresiasi Polri yang dinilai bergerak cepat alias gercep dalam menangani konten menyimpang hubungan sedarah atau inses Polri Terus Berkomitmen #ProfesionalTegakkanHukum Serta Tuntas Ungkap Kejahatan 3 9 15 66",332
Polres Tolikara,2025-05-23 10:46:00,"Polres Tolikara Polres Tolikara @TolikaraPolres · Wakil Ketua Komisi III DPR RI, Dr. H. Ahmad Sahroni, S.E., M.I.Kom., apresiasi Polri yang dinilai gercep dalam menangani konten menyimpang hubungan sedarah atau inses dan pornografi yang dimuat dalam grup Facebook 'Fantasi Sedarah' dan 'Suka Duka.’ #ProfesionalTegakkanHukum 3 26",329
Polres Trenggalek,2025-05-23 10:45:00,"Polres Trenggalek Polres Trenggalek @1trenggalek · Anggota Komisi III DPR RI Fraksi Gerindra, Martin Daniel Tumbelaka mengapresiasi langkah cepat Polri atas penangkapan admin dan anggota grup Facebook 'Fantasi Sedarah' atau 'Suka Duka'. Polri Terus Berkomitmen #ProfesionalTegakkanHukum Tuntas Ungkap Kejahatan 3 9 16 76",320
Polres Tolikara,2025-05-23 10:39:00,"Polres Tolikara Polres Tolikara @TolikaraPolres · Polda Papbar melalui Polres Kaimana berhasil ungkap praktik penambangan emas tanpa izin di wilayah Distrik Teluk Etna, Kaimana, Papua Barat. Dari hasil pengungkapan, Kepolisian amankan lima orang pelaku penambangan emas tanpa izin. Komitmen Polri #ProfesionalTegakkanHukum 3 19",327
Polres Trenggalek,2025-05-23 10:36:00,"Polres Trenggalek Polres Trenggalek @1trenggalek · Direktorat Tindak Pidana Siber Bareskrim Polri bersama Direktorat Perlindungan Perempuan dan Anak (PPA) mengungkap kasus penyebaran konten pornografi anak melalui grup Facebook ""Fantasi Sedarah"" dan ""Suka Duka"". Polri #ProfesionalTegakkanHukum Serta Tuntas Ungkap Kejahatan 2 7 11 90",334
lantas.prabumulih,2025-05-23 10:29:00,"lantas.prabumulih lantas.prabumulih @LantasPBM · Situasi arus lalu lintas pagi di seputaran Pos Rel Perlintasan Kereta Api Kota Prabumulih. Jumat, 23 Mei 2025. @Spripim_Polri #PolriPresisi 2 12",193
𝚋𝚕𝚊𝚗𝚔,2025-05-23 10:24:00,"𝚋𝚕𝚊𝚗𝚔 𝚋𝚕𝚊𝚗𝚔 @blank0429 · Benar ternyata... Puslabfor POLRI diakui Internasional Yg diuji ""aslinya"", yg dipajang jadi barang bukti fotocopy-nya [Sir Edmond Locard bangga padamu Pak] 77 254 815 56K 56K 56K",203
Saraswati,2025-05-23 10:07:00,"Kalau tidak Percaya dgn KABARESKRIM POLRI kenapa buat pengaduan ke BARESKRIM POLRI . Sdh buat pengaduan, kok meragukan bahkan tidak Percaya... TOLOL bin GOBLOK itu namanya.... ""Penampakan Ijasah Pak Jokowi"" Diperlihatkan saat konfresi pers di BARESKRIM POLRI. Menjawab seluruh DUMAS yg dilakukan oleh TPUA Hanya orang BODOH, TOLOL, PEKOK dan Sengaja ingin buat Kegaduhan, yg Masih meragukan Ke Aslian Ijasah Pak Jokowi 3 10 11 140",430
Syarman Lawyer,2025-05-23 10:07:00,Syarman Lawyer Syarman Lawyer @Syarman59 · Penegakan hukum pemberantasan korupsi jaman now tergantung pada selera Penguasa dan Oligarki @DivHumas_Polri bak macan ompong 2 11 25 404,180
Humas Polda Bali,2025-05-23 10:06:00,"Humas Polda Bali Humas Polda Bali @polda_bali · Wakil Ketua Komisi III DPR RI, Dr. H. Ahmad Sahroni, S.E., M.I.Kom., mengapresiasi Polri yang dinilai bergerak cepat alias gercep dalam menangani konten menyimpang hubungan sedarah atau inses dan pornografi yang dimuat dalam grup Facebook 'Fantasi Sedarah' dan 'Suka Duka.’ 1 27 27",329
